PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-30,13:11:27.80,1,1,"Zerger, Justin",10051439,Right,POM_COL,"Lee, Sammy",1000276388,Right,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.59122,-1.231191,-3.175111,1869.573225,214.509235,1:15,5.75158,0.87902,5.26637,-27.74639,11.44477,6.99544,2.28086,-1.52378,78.24632,-6.340483,-1.936204,0.450573,,,,,,,,,,,,-4.36689,6.45591,-0.59361,50,5.61866,6.5683,-123.99104,-3.6496,-6.79505,24.89793,-22.12843,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,3e33b4f0-fe20-11f0-915a-63f78c275567,83.65439,,,7.3449,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:11:27.80,2026-01-30T13:11:27.8045696-08:00,2026-01-30T21:11:27.8045696Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,8b03d9e9-5593-4ed1-ba8c-98e69e378d58,55.23022,-125.03688,12.44897,5.75244,-2.72009,-11.06422,-0.8755,6.85373,-3.39753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-01-30,13:11:46.62,1,2,"Zerger, Justin",10051439,Right,POM_COL,"Lee, Sammy",1000276388,Right,POM_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.34873,-1.207194,-2.528631,1770.561593,216.301451,1:15,5.73432,0.85889,5.19235,-30.50364,8.91756,5.6328,2.05548,-1.05191,78.22743,-6.791128,-1.531102,0.451894,,,,,,,,,,,,-3.50185,5.16579,-0.62863,50,5.59936,5.2159,-123.72968,-3.71954,-5.43323,24.48885,-24.15918,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,4995d490-fe20-11f0-915a-63f78c275567,83.40994,,,7.1213,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:11:46.62,2026-01-30T13:11:46.6206208-08:00,2026-01-30T21:11:46.6206208Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,9b3198e6-2f69-49dd-914b-356ef6b62aa7,55.30518,-124.77528,12.24442,5.73616,-2.68803,-12.07959,-0.85628,5.44788,-2.71661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-01-30,13:12:05.23,1,3,"Zerger, Justin",10051439,Right,POM_COL,"Lee, Sammy",1000276388,Right,POM_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.44456,-1.447816,-1.998191,1563.179837,217.710202,1:15,5.60724,0.88622,5.37121,-33.05773,6.99264,4.4113,1.49389,-0.62037,77.39241,-7.501979,-1.213641,0.455486,85.06116,-45.269356,-82.136212,,,,,2.95048,2.95048,-20.113551,0.018491,-2.79606,4.29166,-0.71034,50,5.45398,4.08855,-122.48407,-4.26565,-4.23948,24.62509,-25.6669,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,5479ea90-fe20-11f0-915a-63f78c275567,82.7522,1.64151,,7.05215,,,,2.54805,1.64151,0.59624,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:12:05.23,2026-01-30T13:12:05.2327936-08:00,2026-01-30T21:12:05.2327936Z,GroundBall,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,98288990-33d6-4b49-9ee8-eb0a6df0f599,55.12767,-123.51067,12.31254,5.60951,-3.19562,-12.83345,-0.88447,4.26529,-2.11974,,2.54799,12.03224,,,,,,,,1.64194,-88.77388,,,,,,,,0.59666,-87.1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-01-30,13:12:46.01,1,4,"Zerger, Justin",10051439,Right,POM_COL,"Lee, Sammy",1000276388,Right,POM_COL,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,,76.76105,-0.449205,-1.225122,2537.9423,109.702164,9:45,5.49734,1.15026,4.68398,-43.0312,6.56981,-14.03174,1.48475,-1.18256,70.69584,-8.201038,-3.689245,0.506893,73.83655,14.52241,4.7152,2736.460368,108.49259,8.43733,18.14694,143.66261,143.66261,10.868441,1.563399,6.60555,3.75886,-1.01217,50,5.41299,2.95144,-111.3357,-2.4006,8.28965,20.02365,-27.45686,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,6cd36fd0-fe20-11f0-915a-63f78c275567,74.35971,11.29311,,6.06521,,,,2.37443,1.65253,1.12477,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:12:46.01,2026-01-30T13:12:46.0111360-08:00,2026-01-30T21:12:46.0111360Z,LineDrive,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,6bcbc804-7788-4f98-9667-464e75d3bfc0,55.81605,-112.37685,10.01182,5.50069,-0.97296,-13.72843,-1.15443,2.52042,4.14482,279.554242,2.37443,104.47843,-10.90073,0.7647,-0.12922,-0.0574,0.05244,-0.02211,0.00388,1.65253,27.15556,-20.25858,1.77531,-0.32479,0.08247,-0.02185,0.00664,-0.00105,1.12477,8.61765,6.79351,-1.43231,0.30497,-0.05267,-0.00077,0.00265,-0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-01-30,13:13:21.38,2,1,"Zerger, Justin",10051439,Right,POM_COL,"Winthrop, Nolan",1000159423,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.75988,-0.429645,-3.012696,1492.426659,257.669415,2:30,5.51856,0.83999,5.22717,-35.21238,4.98626,16.57402,2.17972,-0.61364,77.11578,-6.876168,-0.075816,0.456328,86.67881,32.107352,-6.061537,,108.53268,59.89047,-17.90495,321.9064,316.33114,-16.513776,4.700966,-9.20867,2.99969,-0.57522,50,5.45267,5.74646,-122.81286,-2.20881,-13.96415,25.94269,-27.62527,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,81e54420-fe20-11f0-915a-63f78c275567,82.59944,74.62993,,7.6441,,,,1.48013,2.30784,0.59282,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:13:21.38,2026-01-30T13:13:21.3894656-08:00,2026-01-30T21:13:21.3894656Z,FlyBall,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,51c50e7e-e920-4dac-8018-8c4d3305605a,55.27197,-123.92149,12.97135,5.52184,-1.02827,-13.81263,-0.83354,6.34321,-6.98208,149.007575,1.48044,107.07896,-19.54876,4.57642,-0.99148,0.21804,-0.04283,0.0055,-0.00031,2.30922,67.53284,-17.22853,0.52421,0.31316,-0.20921,0.05987,-0.0082,0.00044,0.59295,-11.37264,-4.52503,1.35689,-0.36205,0.08678,-0.01615,0.00187,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-01-30,13:13:58.09,3,1,"Zerger, Justin",10051439,Right,POM_COL,"Nahabedian, George",1000214430,Right,POM_COL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.72787,1.293628,1.394539,2367.199059,86.488771,9:00,5.29571,1.33453,5.36744,-51.67141,0.98579,-12.00398,2.20328,1.64202,67.46077,-8.143059,-0.741104,0.522276,,,,,,,,,,,,6.5513,0.46256,-1.45041,50,5.37457,-2.1753,-106.99507,0.79583,7.54683,19.54102,-31.64118,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,97c16d50-fe20-11f0-915a-63f78c275567,72.16957,,,6.26711,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:13:58.09,2026-01-30T13:13:58.0989952-08:00,2026-01-30T21:13:58.0989952Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,5c35a097-ffec-4ffe-9988-0779689d9fbc,55.13397,-107.92864,9.77051,5.30044,2.30748,-15.82059,-1.33787,-2.53585,3.77342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-01-30,13:14:39.10,3,2,"Zerger, Justin",10051439,Right,POM_COL,"Nahabedian, George",1000214430,Right,POM_COL,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.37127,-1.799622,-2.384496,1983.123245,208.227867,1:00,5.67538,0.84282,5.1378,-26.89686,13.73497,6.64059,1.73736,-0.85043,76.94549,-6.757368,-1.209791,0.45878,,,,,,,,,,,,-3.98921,7.76386,-0.6246,50,5.48626,4.79666,-122.20587,-4.78001,-6.00863,24.97996,-20.48001,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,b039c530-fe20-11f0-915a-63f78c275567,82.15799,,,7.42578,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:14:39.10,2026-01-30T13:14:39.1091200-08:00,2026-01-30T21:14:39.1091200Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,93de96c8-34e7-4450-bfad-a414ef202beb,55.35872,-123.29638,12.48998,5.67541,-3.88595,-10.24,-0.83972,5.05896,-3.00431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-01-30,13:15:01.81,3,3,"Zerger, Justin",10051439,Right,POM_COL,"Nahabedian, George",1000214430,Right,POM_COL,Undefined,1,Top,1,1,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.66516,-1.885385,-2.451205,1689.443299,243.965545,2:15,5.74354,0.76449,5.28338,-32.35443,8.15319,13.68032,1.27451,-0.39882,76.64987,-7.833282,-0.022048,0.458078,,,,,,,,,,,,-7.67504,5.0928,-0.5515,50,5.54804,4.66037,-122.56729,-5.18442,-11.50205,27.58106,-24.54186,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,bdba09e0-fe20-11f0-915a-63f78c275567,82.28382,,,8.01528,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:15:01.81,2026-01-30T13:15:01.8120192-08:00,2026-01-30T21:15:01.8120192Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,b7ec6c7f-53b7-4bd8-aee5-7b38c1208869,55.21448,-123.73513,13.79053,5.74556,-4.14526,-12.27093,-0.75914,5.1474,-5.75102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-01-30,13:15:28.63,3,4,"Zerger, Justin",10051439,Right,POM_COL,"Nahabedian, George",1000214430,Right,POM_COL,Undefined,1,Top,1,1,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.86492,0.128402,-1.826486,1742.799696,219.343588,1:15,5.79348,0.69118,5.45183,-33.70797,7.07256,4.64453,3.10475,-0.63224,76.0551,-6.095054,-0.999771,0.459619,,,,,,,,,,,,-2.88449,3.95256,-0.53323,50,5.78199,3.6779,-121.56934,-0.89906,-4.2747,25.99948,-26.31647,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,cdc00f10-fe20-11f0-915a-63f78c275567,82.00803,,,7.80982,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:15:28.63,2026-01-30T13:15:28.6340096-08:00,2026-01-30T21:15:28.6340096Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,3f9ab0a0-538b-42ef-8514-d57d5a8dd2b3,55.04402,-122.64334,12.99974,5.79668,0.18803,-13.15824,-0.6888,3.85448,-2.13735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-01-30,13:15:58.83,4,1,"Zerger, Justin",10051439,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.0001,-0.996418,-1.411285,1595.945092,268.236012,3:00,5.52821,0.98043,5.19074,-39.4949,2.11197,16.39391,1.29924,1.01869,75.47266,-8.223598,1.498596,0.464252,,,,,,,,,,,,-8.59489,1.90772,-0.86218,50,5.4064,2.26161,-121.56466,-3.58143,-12.5537,29.14777,-29.38765,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260130-PomonaPitzer-Private-1,dfb5af40-fe20-11f0-915a-63f78c275567,81.18956,,,8.52744,,,,,,,9c723542-d6b6-4c4f-819a-2cccafe8acb4,2026-01-30,21:15:58.83,2026-01-30T13:15:58.8369408-08:00,2026-01-30T21:15:58.8369408Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",1000474009,Right,POM_COL,a4485f93-c713-4aff-86f2-51f337056fb5,55.30435,-122.82991,14.57388,5.53418,-2.30577,-14.69383,-0.97217,2.80654,-6.27685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
