PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-24,13:32:58.27,1,1,"Heath, Emmett",N/A,Left,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.02664,-2.16073,2.926035,1779.122642,141.166404,10:45,5.49938,-1.48628,4.6072,-26.50407,16.03776,-11.82103,1.23241,0.31344,76.22376,-6.992802,0.856309,0.469439,,,,,,,,,,,,6.58764,8.81815,1.19644,50,5.25276,-5.61456,-120.20911,-5.51329,9.67497,22.49356,-19.2232,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,40fc5bf0-f96c-11f0-a25b-3b77ecbaa16c,80.29243,,,6.80287,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:32:58.27,2026-01-24T13:32:58.2781952-08:00,2026-01-24T21:32:58.2781952Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,486a9d6d-d6fe-4dfd-b99d-6019c4066019,55.89155,-121.30653,11.24678,5.49886,-4.57543,-9.6116,1.48188,-6.08658,4.83749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-01-24,13:33:18.48,1,2,"Heath, Emmett",N/A,Left,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.36375,-1.326206,2.391477,1749.707131,115.561257,9:45,5.52821,-1.38534,4.79706,-31.96277,10.22705,-18.38379,1.60663,-0.64987,75.94768,-7.154178,-0.842822,0.467493,,,,,,,,,,,,9.7419,5.83721,1.16381,50,5.36866,-4.21613,-120.72908,-3.98585,14.29629,24.7553,-23.60792,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,4ce95670-f96c-11f0-a25b-3b77ecbaa16c,80.6267,,,7.41607,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:33:18.48,2026-01-24T13:33:18.4841216-08:00,2026-01-24T21:33:18.4841216Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,13fdf19a-e0d7-4551-9d8f-be3a782f3b7c,55.70103,-121.89246,12.37765,5.52991,-2.87638,-11.80396,1.37774,-4.88799,7.14815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-01-24,13:33:41.61,1,3,"Heath, Emmett",N/A,Left,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.94657,-2.866858,3.671935,1807.372665,124.950791,10:15,5.55946,-1.37817,4.81363,-27.56828,12.77965,-16.47308,0.53847,0.73227,78.18649,-7.878528,0.777605,0.457175,,,,,,,,,,,,9.13406,7.42217,1.02805,50,5.25035,-7.15448,-122.92119,-7.19509,14.04822,23.17272,-20.75868,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,5aca31b0-f96c-11f0-a25b-3b77ecbaa16c,82.44647,,,6.76008,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:33:41.61,2026-01-24T13:33:41.6133120-08:00,2026-01-24T21:33:41.6133120Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,d8f9efd4-714c-490e-893f-56f423433ec9,55.68651,-123.98856,11.58636,5.55974,-6.23892,-10.37934,1.3725,-7.80156,7.02411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-01-24,13:34:01.70,1,4,"Heath, Emmett",N/A,Left,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,1,2,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,72.42243,-0.394554,3.932583,1854.998865,304.547016,4:15,4.83064,-2.08258,4.41157,-60.46657,-2.93106,7.2754,-0.58567,2.28253,66.06537,-11.155682,5.201098,0.545933,,,,,,,,,,,,-2.31595,-1.04858,1.65578,50,4.72877,-7.4692,-104.60953,-2.8151,-2.51472,20.95478,-33.31262,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,66ccb000-f96c-11f0-a25b-3b77ecbaa16c,69.04224,,,6.35706,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:34:01.70,2026-01-24T13:34:01.7031680-08:00,2026-01-24T21:34:01.7031680Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,aadb9283-61f1-420a-8c67-cc214c7f62cf,56.09009,-105.82243,10.47739,4.83591,-0.88691,-16.65631,2.0839,-7.32364,-1.25736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-01-24,13:34:34.10,2,1,"Heath, Emmett",N/A,Left,POM_COL,"Winthrop, Nolan",N/A,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.67238,-0.887866,3.356193,1877.373941,138.188032,10:30,5.38407,-1.45205,4.58007,-32.21695,11.67343,-9.2389,1.85312,0.9747,75.14839,-6.720729,1.740757,0.476822,,,,,,,,,,,,5.37307,6.33331,1.11362,50,5.26251,-6.52285,-118.28413,-3.04473,7.66288,21.15767,-23.14173,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,79fbba90-f96c-11f0-a25b-3b77ecbaa16c,79.0493,,,6.52399,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:34:34.10,2026-01-24T13:34:34.1058560-08:00,2026-01-24T21:34:34.1058560Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,3e20e131-9044-4feb-8c56-a6d69ed61fac,55.91788,-119.33798,10.57884,5.38546,-1.89206,-11.57086,1.44802,-6.90453,3.83144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-01-24,13:35:16.03,2,2,"Heath, Emmett",N/A,Left,POM_COL,"Winthrop, Nolan",N/A,Left,POM_COL,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.82533,3.265063,0.652667,2132.703192,318.057651,4:30,5.43533,-1.49012,4.45152,-59.93299,-1.87839,3.53276,3.55812,-0.5733,64.96344,-7.527022,1.269763,0.54839,,,,,,,,,,,,-1.48823,-1.24161,1.41752,50,5.72311,-1.32858,-103.80389,3.79992,-1.60371,19.38547,-33.512,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,93068e70-f96c-11f0-a25b-3b77ecbaa16c,68.73286,,,6.86189,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:35:16.03,2026-01-24T13:35:16.0306176-08:00,2026-01-24T21:35:16.0306176Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,cd8aeda3-d0fd-448a-8752-6717688577c6,56.04448,-104.92663,9.69273,5.44682,5.74082,-16.756,1.49178,-1.2357,-0.80185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-01-24,13:36:05.81,2,3,"Heath, Emmett",N/A,Left,POM_COL,"Winthrop, Nolan",N/A,Left,POM_COL,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.14344,0.747744,3.894372,1886.485985,240.042885,2:00,4.75199,-2.04466,4.54347,-52.77007,4.21299,3.21969,1.06804,1.93687,65.26035,-8.811688,4.456039,0.543306,,,,,,,,,,,,-0.10299,2.43677,1.63547,50,4.78127,-7.30613,-105.37825,-0.44299,-0.11206,23.31987,-29.52297,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,b0cdb1e0-f96c-11f0-a25b-3b77ecbaa16c,69.3761,,,7.88309,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:36:05.81,2026-01-24T13:36:05.8160000-08:00,2026-01-24T21:36:05.8160000Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,0f09c582-4de2-4c24-81ff-19d7ee8701f8,55.94946,-106.68673,11.65994,4.75966,1.21354,-14.76148,2.04524,-7.29984,-0.05603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.22878,,,1.350952,,,,-1.37435,5.90929,-0.79761,127.27738,-0.98903,-4.09241,-1.26479,105.41385,-7.6824,5.94607,12.05399,-12.75514,-0.82354,-4.3864,1.47553,High,High,High,,,High,High,High
8,2026-01-24,13:36:37.38,2,4,"Heath, Emmett",N/A,Left,POM_COL,"Winthrop, Nolan",N/A,Left,POM_COL,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.18572,2.750834,-0.039533,2145.446488,320.486828,4:45,5.31755,-1.57683,4.33373,-67.29,-6.80363,7.23863,2.34098,-1.01139,64.28138,-9.26031,1.224049,0.559758,,,,,,,,,,,,-3.54351,-3.65646,1.57318,50,5.54563,-0.21144,-101.64257,2.53858,-3.68685,17.50572,-35.97843,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,c3a0b9c0-f96c-11f0-a25b-3b77ecbaa16c,67.33705,,,5.90434,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:36:37.38,2026-01-24T13:36:37.3875712-08:00,2026-01-24T21:36:37.3875712Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,fb18878f-627f-41a7-8f73-119a1aa82526,56.16797,-102.69937,8.75286,5.32682,4.71056,-17.98921,1.57923,0.01113,-1.84343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-01-24,13:37:03.02,2,5,"Heath, Emmett",N/A,Left,POM_COL,"Winthrop, Nolan",N/A,Left,POM_COL,Undefined,1,Top,0,1,2,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,85.08378,-0.719315,2.443949,1960.190469,143.857334,10:45,5.73321,-1.38397,4.68923,-19.85316,21.0669,-14.30627,3.39516,-0.25429,76.68235,-4.446507,-0.064334,0.460405,50.9883,56.850254,-50.334737,4912.325486,,,,111.03539,43.78851,-58.94456,3.784106,7.78288,10.96079,1.14949,50,5.64362,-4.5899,-123.09858,-2.21513,11.79792,27.19177,-15.55876,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,d2d87270-f96c-11f0-a25b-3b77ecbaa16c,81.86808,56.90564,,8.40143,,,,0.82496,3.4484,0.27474,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:37:03.02,2026-01-24T13:37:03.0241280-08:00,2026-01-24T21:37:03.0241280Z,Popup,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,9a26f704-1b00-4d8e-a658-24dd0e00a9ca,55.80727,-124.37475,13.59589,5.73044,-1.48492,-7.77938,1.3779,-5.1436,5.89896,157.410403,0.82457,26.1062,-8.37037,2.70748,-0.3497,-0.1664,0.10619,-0.0227,0.00171,3.44757,62.63734,-20.81384,1.96536,-0.45678,0.06113,0.0292,-0.01351,0.00147,0.27455,-31.47157,3.59881,-0.79971,0.00041,0.09031,-0.03578,0.0058,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-01-24,13:37:42.40,3,1,"Heath, Emmett",N/A,Left,POM_COL,"Nahabedian, George",1000214430,Right,POM_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.77388,2.024566,-0.444768,2077.927551,318.629178,4:30,5.3401,-1.51875,4.18362,-67.32555,-8.00382,8.63276,1.67064,-1.22558,65.42764,-9.915115,1.059747,0.554343,,,,,,,,,,,,-4.27355,-3.86524,1.55812,50,5.49211,0.44854,-102.61615,1.18939,-4.56818,16.58299,-36.30578,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260124-PomonaPitzer-Private-1,ea472280-f96c-11f0-a25b-3b77ecbaa16c,67.99483,,,5.34624,,,,,,,0902a604-4619-4318-8199-6735316d371f,2026-01-24,21:37:42.40,2026-01-24T13:37:42.4015360-08:00,2026-01-24T21:37:42.4015360Z,,v3,POM_PIT,POM_PIT,,"Parker, Will",N/A,Undefined,POM_COL,13be251a-0b8e-43b3-83d6-0480a7d34a94,56.31857,-103.63221,8.2915,5.35108,3.4139,-18.15289,1.52206,0.72844,-2.28409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
