PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-07,15:42:10.79,1,1,"Brunngraber, Max",1000276385,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.90051,1.485053,-4.388378,2088.343011,261.1279,2:45,4.37441,2.42226,5.61771,-38.09719,3.0061,11.25662,2.58998,-0.74323,76.00764,-5.507673,-2.387211,0.461434,,,,,,,,,,,,-6.83237,1.5376,-2.05436,50,4.47706,8.75283,-120.08665,1.81086,-10.02489,22.21021,-29.91799,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,dcf26930-a3ce-11f0-b9c1-016fd52faf69,81.68544,,,6.89288,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:42:10.79,2025-10-07T15:42:10.7920896-07:00,2025-10-07T22:42:10.7920896Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,f2079945-ff08-4ddc-913c-10b708a42648,54.88117,-120.98606,11.1051,4.3792,3.0224,-14.959,-2.41703,9.1588,-5.01244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-07,15:42:27.11,1,2,"Brunngraber, Max",1000276385,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,64.10558,4.05729,-0.788051,1995.862652,103.692117,9:30,3.87509,2.58221,4.89168,-66.44622,4.2661,-8.72166,2.18263,1.10991,58.96219,-7.965297,-2.321933,0.605228,,,,,,,,,,,,4.0591,1.7091,-2.4973,50,4.21773,1.57893,-92.78971,4.62397,3.55117,13.43389,-30.67883,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,e6c4e820-a3ce-11f0-b9c1-016fd52faf69,62.27809,,,5.1434,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:42:27.11,2025-10-07T15:42:27.1129088-07:00,2025-10-07T22:42:27.1129088Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,f70b240c-8e03-4918-8c28-f2b6083e9261,55.6061,-93.59783,6.71694,3.88407,6.46947,-15.33942,-2.58586,1.36531,1.77558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-07,15:42:46.74,1,3,"Brunngraber, Max",1000276385,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.51444,1.514082,-3.776801,2225.921421,222.831124,1:30,4.76965,2.3199,5.66037,-26.3823,12.17072,10.19103,3.98644,-0.3579,78.16383,-3.396546,-1.962406,0.44689,,,,,,,,,,,,-6.1413,6.12914,-2.0064,50,4.88141,7.74874,-123.92575,2.41716,-9.59028,23.79829,-22.60281,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,f25d5a00-a3ce-11f0-b9c1-016fd52faf69,84.34391,,,7.35061,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:42:46.74,2025-10-07T15:42:46.7428864-07:00,2025-10-07T22:42:46.7428864Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,9a2b204f-5fd3-4610-8474-5f508a040c18,54.8369,-124.85116,11.89915,4.77033,3.29608,-11.3014,-2.31497,8.12167,-4.79514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-07,15:43:03.04,1,4,"Brunngraber, Max",1000276385,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,73.8066,2.412434,-3.264382,1811.65337,289.943023,3:45,4.16959,2.59585,5.13188,-57.46133,-4.30563,16.66635,1.65807,0.90717,67.40228,-8.009614,-0.319001,0.524743,92.7651,17.6476,-18.892992,2546.8787,101.95174,24.92223,-41.3017,260.04492,253.21925,-25.645205,2.594343,-9.25847,-2.36488,-2.30298,50,4.35152,5.4587,-106.88464,2.59332,-10.66241,19.19535,-34.89753,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,fc399cf0-a3ce-11f0-b9c1-016fd52faf69,71.83034,26.24841,,6.40432,,,,1.09636,1.68569,-0.89131,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:43:03.04,2025-10-07T15:43:03.0407680-07:00,2025-10-07T22:43:03.0407680Z,LineDrive,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,481a123c-ede1-4cda-9ebc-67104fee81de,55.36931,-107.8446,9.59767,4.17819,4.33855,-17.44876,-2.5893,5.99193,-5.33121,,1.09634,122.66926,-19.82827,4.38608,-0.93217,0.17622,-0.02889,0.00332,-0.00017,1.68571,41.2447,-18.693,1.35036,-0.21212,0.03822,-0.00745,0.00157,-0.00015,-0.89133,-41.97908,-1.81983,1.07286,-0.33569,0.07425,-0.01132,0.00094,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-10-07,15:43:35.03,2,1,"Brunngraber, Max",1000276385,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.74811,1.211708,-2.770276,1889.089201,269.389653,3:00,4.33672,2.58768,5.23012,-40.38809,1.48827,15.90336,2.11158,1.30679,75.6885,-6.15517,0.04688,0.465753,,,,,,,,,,,,-8.6604,0.8385,-2.34457,50,4.4184,5.12028,-119.98672,1.06142,-12.63277,23.08739,-30.95095,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,0f28df60-a3cf-11f0-b9c1-016fd52faf69,80.92791,,,7.05961,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:43:35.03,2025-10-07T15:43:35.0392320-07:00,2025-10-07T22:43:35.0392320Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,b75db8ba-f58f-43ad-948a-24a30de75e26,55.26891,-120.99629,11.54369,4.3424,2.41486,-15.47547,-2.58055,5.67269,-6.31638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-07,15:43:50.73,2,2,"Brunngraber, Max",1000276385,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.329,1.743569,1.392953,2223.585835,110.452831,9:45,3.93466,2.70394,4.78807,-51.50889,7.43768,-14.9258,1.29571,2.78055,64.50665,-7.591795,-1.23176,0.552587,,,,,,,,,,,,7.72091,3.72213,-2.82919,50,4.06417,-1.91323,-101.94352,1.4409,8.12433,16.77232,-28.25745,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,189151e0-a3cf-11f0-b9c1-016fd52faf69,68.21088,,,5.82235,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:43:50.73,2025-10-07T15:43:50.7326464-07:00,2025-10-07T22:43:50.7326464Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,d1c14195-bdfe-47a1-a005-4fd9b0cb06ec,55.71019,-102.8787,8.38616,3.9399,3.01647,-14.12873,-2.70989,-2.36623,4.06217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-07,15:44:13.24,2,3,"Brunngraber, Max",1000276385,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,1,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,62.59783,2.734833,-1.976119,1998.385493,88.789687,9:00,3.92695,2.64344,4.89282,-72.6937,2.18197,-14.94954,0.45957,-0.47234,57.47284,-10.383785,-4.606375,0.62279,,,,,,,,,,,,6.76721,0.97402,-2.43644,50,4.13441,3.62618,-90.59969,2.24346,5.57178,14.40021,-31.37209,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,260588a0-a3cf-11f0-b9c1-016fd52faf69,60.52189,,,5.12498,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:44:13.24,2025-10-07T15:44:13.2414464-07:00,2025-10-07T22:44:13.2414464Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,3bc9a32c-a39a-44e3-84c4-cb28d5a9e9a2,55.60585,-91.48637,7.20011,3.9368,4.17516,-15.68605,-2.64916,3.2831,2.78589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-07,15:44:36.17,2,4,"Brunngraber, Max",1000276385,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,1,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.95933,0.951105,-2.10487,2081.515041,243.4143,2:00,4.50495,2.55089,5.31158,-32.30695,7.29536,12.06859,2.7061,1.58007,77.55702,-4.991302,0.036582,0.45293,,,,,,,,,,,,-6.58882,3.78504,-2.36887,50,4.56808,3.9982,-123.22854,0.88434,-10.13137,24.48761,-26.35396,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,3397f5c0-a3cf-11f0-b9c1-016fd52faf69,83.21905,,,7.40231,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:44:36.17,2025-10-07T15:44:36.1790000-07:00,2025-10-07T22:44:36.1790000Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,8007d9a6-cfe4-4fe8-b184-50ca33d41a41,55.1857,-124.25475,12.24381,4.50788,1.98877,-13.17698,-2.54532,4.42278,-5.06569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.06793,2.878491,1.499341,1.37915,-1.65993,2.42718,-1.58533,-2.98355,4.97999,-1.35632,76.21715,7.66436,-48.57616,-2.96224,60.64627,-2.34571,5.07499,23.69887,-15.82097,-1.41986,-38.49694,3.12142,High,High,High,,,High,High,High
9,2025-10-07,15:45:06.10,2,5,"Brunngraber, Max",1000276385,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,75.67896,2.849046,-4.543849,1774.436425,300.460613,4:00,4.1871,2.62029,5.29194,-57.22794,-7.30473,14.95178,2.10386,-0.40915,69.64215,-7.511169,-1.901334,0.508537,75.28855,-21.394333,23.160567,,,,,6.01148,6.01148,21.957098,0.047266,-8.69504,-3.99906,-2.21743,50,4.40489,8.1366,-109.55628,3.54006,-10.6313,18.26795,-37.06363,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,45966f90-a3cf-11f0-b9c1-016fd52faf69,74.11936,1.90835,,6.03681,,,,1.09705,1.90835,0.33198,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:45:06.10,2025-10-07T15:45:06.1005824-07:00,2025-10-07T22:45:06.1005824Z,GroundBall,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,b2d55f2e-ea12-448e-93dc-15faee6c0db2,55.21113,-110.42179,9.13398,4.19557,5.29608,-18.53181,-2.61486,8.6403,-5.31565,180,1.09537,94.74913,,,,,,,,1.90907,-40.37493,,,,,,,,0.33126,40.53236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-10-07,15:45:39.94,3,1,"Brunngraber, Max",1000276385,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.96392,3.025147,-0.976704,2192.407735,94.671303,9:15,4.19457,2.49839,5.13854,-54.76247,2.62071,-9.59083,2.48265,0.77938,64.83177,-6.953694,-2.672295,0.54521,,,,,,,,,,,,4.45418,1.04126,-2.39926,50,4.43637,2.11333,-102.80145,3.69797,4.75225,17.52032,-31.06311,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,59a0e600-a3cf-11f0-b9c1-016fd52faf69,69.13383,,,6.13215,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:45:39.94,2025-10-07T15:45:39.9474176-07:00,2025-10-07T22:45:39.9474176Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,aab5c513-c539-4168-9d90-53c63f5b9719,55.35874,-103.71071,8.76016,4.20262,5.31007,-15.53155,-2.50254,1.8667,2.37613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-10-07,15:45:56.66,3,2,"Brunngraber, Max",1000276385,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.08958,2.653979,-0.888356,1944.28281,97.746668,9:15,4.0023,2.47405,5.29435,-62.25429,3.54795,-10.42497,1.30837,0.77115,60.59192,-8.701478,-2.73804,0.583837,,,,,,,,,,,,4.93571,1.67366,-2.38539,50,4.19882,1.8412,-95.79034,2.64947,4.56495,15.43102,-30.62611,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,63a08f70-a3cf-11f0-b9c1-016fd52faf69,64.55986,,,5.49766,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:45:56.66,2025-10-07T15:45:56.6608384-07:00,2025-10-07T22:45:56.6608384Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,453675ff-ba1a-4855-b58f-cbb20828aec0,55.20337,-96.62492,7.71551,4.01073,4.30588,-15.31305,-2.47829,1.59431,2.28247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2025-10-07,15:46:14.88,3,3,"Brunngraber, Max",1000276385,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,2,1,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.92077,2.049769,-3.744261,1937.174597,280.675601,3:15,4.4966,2.35507,5.40389,-45.97286,-2.02575,18.68993,2.59109,0.3992,73.38586,-6.359849,-0.427821,0.47713,,,,,,,,,,,,-10.60099,-1.28008,-2.0351,50,4.64706,6.91541,-117.15747,2.60047,-14.60744,23.91145,-33.93792,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251007-PomonaPitzer-Private-1,6e89fca0-a3cf-11f0-b9c1-016fd52faf69,78.99828,,,7.53492,,,,,,,0323982c-f4ee-428b-932f-92656d36e269,2025-10-07,22:46:14.88,2025-10-07T15:46:14.8868096-07:00,2025-10-07T22:46:14.8868096Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,2d088426-261f-4559-913b-195a7845fbdc,55.09703,-118.19318,11.95573,4.50259,4.07047,-16.96896,-2.34834,7.54812,-7.30372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
