PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-24,13:51:56.04,1,1,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.24562,-0.795392,-2.666987,2479.570315,224.429904,1:30,5.46027,2.14565,5.09904,-25.30513,13.43383,11.9539,2.60114,0.62684,78.82747,-5.464282,-0.554974,0.447966,,,,,,,,,,,,-6.64024,7.26611,-1.90342,50,5.36572,5.27905,-125.00821,-2.64273,-10.51987,24.9223,-20.66264,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,4743e2b0-b11b-11f0-adf5-f5dfc79d1f08,84.14123,,,7.41815,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:51:56.04,2025-10-24T13:51:56.0441344-07:00,2025-10-24T20:51:56.0441344Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,39910793-45f5-41b4-8dfe-bdb5cf628ce8,55.39787,-126.07976,12.46115,5.46025,-1.75432,-10.33132,-2.14012,5.73136,-5.25993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-24,13:52:13.14,1,2,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.35224,-0.103517,-5.107268,1573.732009,275.514063,3:15,5.3313,2.19532,5.11695,-45.59829,0.2178,12.39501,1.43355,-1.59561,73.0777,-8.34326,-2.923859,0.48717,,,,,,,,,,,,-7.52768,0.57024,-1.72371,50,5.2859,9.7513,-114.79735,-1.83495,-10.08532,20.45951,-31.41009,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,51a31140-b11b-11f0-adf5-f5dfc79d1f08,77.37024,,,6.27454,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:52:13.14,2025-10-24T13:52:13.1454976-07:00,2025-10-24T20:52:13.1454976Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,b949e93c-9434-447f-ac96-bbbe13b5f66f,55.38309,-115.75276,10.22976,5.33734,-0.36817,-15.70505,-2.19007,10.22226,-5.04266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-24,13:52:32.30,1,3,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.37313,-0.478731,-1.243528,2412.567706,235.172596,1:45,5.49242,2.15335,5.11628,-27.78084,10.89918,13.84225,2.72626,2.13526,78.73174,-5.594039,1.206165,0.447625,,,,,,,,,,,,-7.17985,5.94477,-2.04735,50,5.42619,2.08292,-125.25579,-2.06237,-11.37343,25.98372,-22.75709,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,5ce28db0-b11b-11f0-adf5-f5dfc79d1f08,84.20532,,,7.64138,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:52:32.30,2025-10-24T13:52:32.3013120-07:00,2025-10-24T20:52:32.3013120Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,12da6c99-ffc4-402c-a9c7-0d8f934adebf,55.37997,-126.36691,12.99186,5.49358,-1.08923,-11.37855,-2.14681,2.56928,-5.68672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-24,13:52:52.14,1,4,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.63661,-1.326177,-3.973513,2400.830749,236.408507,2:00,5.45083,2.07566,5.1325,-29.66974,8.51532,11.10016,1.72622,-0.74733,79.84531,-6.735456,-2.014237,0.444752,,,,,,,,,,,,-6.57481,4.91843,-1.71146,50,5.3032,8.23087,-125.52939,-4.01842,-10.57215,23.56886,-24.26531,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,68c527f0-b11b-11f0-adf5-f5dfc79d1f08,84.74927,,,6.7913,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:52:52.14,2025-10-24T13:52:52.1472000-07:00,2025-10-24T20:52:52.1472000Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,b46f953c-3f9b-4135-9ae7-43fe52e8d727,55.36741,-126.53314,11.78443,5.45233,-2.98501,-12.13265,-2.07158,8.68112,-5.28608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-24,13:53:41.49,1,5,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.55788,-0.782025,-2.521872,2471.465223,222.780206,1:30,5.60511,1.77125,5.20221,-22.36627,14.14611,11.79914,3.00499,0.38112,80.18574,-4.974624,-0.433079,0.434902,,,,,,,,,,,,-6.65985,7.69721,-1.54669,50,5.51645,5.13819,-129.52503,-2.55425,-11.09219,31.99773,-19.35411,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,8617deb0-b11b-11f0-adf5-f5dfc79d1f08,86.66878,,,9.37214,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:53:41.49,2025-10-24T13:53:41.4920000-07:00,2025-10-24T20:53:41.4920000Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,94d3f1f1-5bc4-41c9-8498-689f0db7096d,55.29081,-130.82554,15.99887,5.60428,-1.76762,-9.67706,-1.76469,5.58902,-5.54609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.89174,2.84424,1.502003,1.342236,-1.70925,2.72501,-0.3608,-1.80181,5.85672,-0.55665,74.16922,10.04217,-50.62833,-1.77455,59.41189,-2.10621,5.9552,23.45967,-15.19121,-0.65824,-42.34769,3.79846,High,High,High,,,High,High,High
6,2025-10-24,13:54:11.25,2,1,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.46118,0.279151,-3.95506,2436.143689,223.164326,1:30,5.57948,1.98354,5.25427,-26.28517,12.44312,10.4189,3.65197,-0.87033,78.25612,-4.598581,-2.113838,0.447905,,,,,,,,,,,,-6.36004,6.52111,-1.62835,50,5.58612,8.17737,-125.07849,-0.31038,-10.00034,26.98506,-21.92047,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,97e31380-b11b-11f0-adf5-f5dfc79d1f08,84.15284,,,8.20507,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:54:11.25,2025-10-24T13:54:11.2518144-07:00,2025-10-24T20:54:11.2518144Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,b972aa8e-169b-4282-85e7-35f259736671,55.2415,-126.20425,13.49253,5.57999,0.60409,-10.96024,-1.97819,8.59456,-5.00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-24,13:54:26.50,2,2,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.52218,-0.66554,-3.525889,2428.93409,213.570365,1:00,5.60296,1.94937,5.35332,-22.9158,15.57442,9.45426,3.0679,-0.57381,78.39493,-4.950395,-1.850523,0.446526,,,,,,,,,,,,-5.83465,8.40583,-1.63899,50,5.52712,7.30825,-125.26914,-2.22147,-9.19509,27.24844,-18.9269,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,a10b6fc0-b11b-11f0-adf5-f5dfc79d1f08,84.41268,,,8.12725,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:54:26.50,2025-10-24T13:54:26.5060864-07:00,2025-10-24T20:54:26.5060864Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,f09ab17b-2896-4c8a-aced-5ea21547de32,55.14437,-126.38319,13.62422,5.60213,-1.44765,-9.46345,-1.94547,7.68419,-4.59755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-24,13:55:00.32,3,1,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Pierantoni, Greg",1000091552,Right,POM_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.60717,0.717874,-1.867645,2356.700426,221.663066,1:30,5.57188,1.99043,5.28795,-24.9708,13.39308,10.77001,4.16547,1.13356,78.50413,-3.932739,0.042375,0.445792,,,,,,,,,,,,-5.88059,6.86343,-1.8282,50,5.61949,3.60203,-125.52427,0.71061,-9.32772,26.79185,-21.28734,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,b51ee6e0-b11b-11f0-adf5-f5dfc79d1f08,84.55155,,,8.10304,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:55:00.32,2025-10-24T13:55:00.3277824-07:00,2025-10-24T20:55:00.3277824Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,1450941e-3c54-4c94-a02a-94ea22fd560b,55.20702,-126.63078,13.39593,5.57198,1.58978,-10.64367,-1.98492,3.98727,-4.66386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-24,13:55:15.39,3,2,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Pierantoni, Greg",1000091552,Right,POM_COL,Undefined,1,Top,2,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.80821,0.28673,-3.919839,2782.213099,49.405316,7:45,5.4118,2.16527,4.25622,-51.85711,-1.51669,-3.5213,1.36543,-1.88542,71.04326,-8.913079,-4.531266,0.510658,,,,,,,,,,,,0.66646,-0.38929,-1.73313,50,5.38945,7.76783,-111.16153,-1.43206,0.83771,19.07324,-32.66337,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,be1cb0b0-b11b-11f0-adf5-f5dfc79d1f08,73.81156,,,5.76495,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:55:15.39,2025-10-24T13:55:15.3950720-07:00,2025-10-24T20:55:15.3950720Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,0d4d7303-abce-404b-9f0a-9a37e78f9e5c,56.24401,-112.22777,9.53662,5.41847,0.3939,-16.33168,-2.16606,7.721,0.41886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-24,13:55:34.51,3,3,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Pierantoni, Greg",1000091552,Right,POM_COL,Undefined,1,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.03187,1.684158,-1.143395,2394.299114,218.741013,1:15,5.5276,2.15634,5.04062,-24.63261,15.29788,11.26721,5.06438,2.01653,77.45312,-2.885367,0.845746,0.454803,,,,,,,,,,,,-5.84477,7.48296,-2.05646,50,5.66917,1.94499,-123.274,2.76859,-9.00124,24.31836,-20.64988,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,c98b0550-b11b-11f0-adf5-f5dfc79d1f08,82.87635,,,7.57874,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:55:34.51,2025-10-24T13:55:34.5192960-07:00,2025-10-24T20:55:34.5192960Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,fbd20d1a-11df-4234-a58d-7ad8c1e49eab,55.45498,-124.34545,12.15918,5.52715,3.67841,-10.32494,-2.15089,2.34158,-4.50062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-10-24,13:55:53.92,3,4,"Oelschlager, Lincoln",10297980,Right,POM_COL,"Pierantoni, Greg",1000091552,Right,POM_COL,Undefined,1,Top,2,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.68187,-0.044503,-1.427873,2433.829798,224.285224,1:30,5.50973,1.94598,5.18297,-24.43741,13.71202,12.20304,3.4314,1.61921,79.21956,-4.57017,0.733283,0.444545,,,,,,,,,,,,-6.54957,7.21323,-1.82323,50,5.48741,2.60448,-125.81123,-0.96086,-10.50035,25.46224,-20.60973,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251024-PomonaPitzer-Private-1,d524fdd0-b11b-11f0-adf5-f5dfc79d1f08,84.78883,,,7.46231,,,,,,,5cb87072-c9df-459f-86b7-f3ed8582de67,2025-10-24,20:55:53.92,2025-10-24T13:55:53.9297280-07:00,2025-10-24T20:55:53.9297280Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,423d5afe-8312-48cc-96e8-af1658d56294,55.31675,-126.88269,12.73112,5.50959,-0.0936,-10.30487,-1.94212,3.04634,-5.25018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
